bill_no,period_from,period_to,index_ref_date,fixed_proportion,fuel_o,fuel_n,bitumen_o,bitumen_n,steel_o,steel_n,cement_o,cement_n,equipment_o,equipment_n,labour_o,labour_n,metal_o,metal_n,adjustment_factor_pn,ipc_amount,amount_after_adjustment,adjustment_amount,fuel_ret_pct,bitumen_ret_pct,steel_ret_pct,cement_ret_pct,equipment_ret_pct,labour_ret_pct,metal_ret_pct,adjustment_pct_of_ipc
21,2022-05-01,2022-05-31,2022-04-12,0.2,224.9,376.109,298,507.501,239,405.655,252.3,290.566,219.3,270.673,209.6,209.6,239,405.655,1.3510265334325429,1551575.1589766282,2096219.2083922406,544644.0494156124,67.23388172521119,70.30234899328858,69.73012552301255,15.166864843440342,23.42590059279526,0.0,69.73012552301255,35.10265334325429
22,2022-06-01,2022-07-31,2022-06-12,0.2,224.9,466.799,298,559.772,239,412.324,252.3,291.714,219.3,274.14,209.6,209.6,239,412.324,1.4326538482707414,3075677.0248720134,4406380.525720795,1330703.5008487813,107.5584704313028,87.84295302013425,72.52050209205021,15.621878715814507,25.006839945280433,0.0,72.52050209205021,43.265384827074136
23,2022-08-01,2022-08-31,2022-07-13,0.2,224.9,406.401,298,528.04,239,393.04,252.3,299.366,219.3,275.184,209.6,209.6,239,393.04,1.3759077413116163,1841613.6489411741,2533890.476083295,692276.8271421208,80.70297910182302,77.19463087248322,64.45188284518831,18.654776060245727,25.482900136798904,0.0,64.45188284518831,37.59077413116164
24,2022-09-01,2022-10-31,2022-09-12,0.2,224.9,360.701,298,462.707,239,353.075,252.3,304.473,219.3,282.714,209.6,209.6,239,353.075,1.2921151421333503,2252416.8855126128,2910381.964167688,657965.0786550753,60.382836816362826,55.270805369127515,47.730125523012546,20.678953626634964,28.916552667578642,0.0,47.730125523012546,29.21151421333504
25,2022-11-01,2022-11-30,2022-10-12,0.2,224.9,381.173,298,505.156,239,336.866,252.3,308.685,219.3,282.777,209.6,209.6,239,336.866,1.3212322725542767,1631121.8898823485,2155090.881382282,523968.9914999334,69.48554913294798,69.51543624161074,40.948117154811705,22.348394768133172,28.94528043775648,0.0,40.948117154811705,32.123227255427665
26,2022-12-01,2023-01-31,2022-12-13,0.2,224.9,288.864,298,477.291,239,322.678,252.3,310.125,219.3,283.37,209.6,209.6,239,322.678,1.2534230185005812,1774822.3832739517,2224603.228945632,449780.8456716803,28.44108492663404,60.16476510067115,35.01171548117155,22.91914387633769,29.21568627450979,0.0,35.01171548117155,25.342301850058117
27,2023-02-01,2023-02-28,2023-01-10,0.2,224.9,310.821,298,433.119,239,323.534,252.3,325.213,219.3,293.057,209.6,209.6,239,323.534,1.2444750441754975,2046996.6968671307,2547436.3047608198,500439.60789368907,38.2040907069809,45.341946308724836,35.36987447698745,28.89932619896949,33.6329229366165,0.0,35.36987447698745,24.44750441754974
28,2023-03-01,2023-04-30,2023-03-12,0.2,224.9,304.612,298,489.816,239,340.753,252.3,329.742,219.3,294.9,209.6,209.6,239,340.753,1.2932083297163084,1427296.1583865434,1845791.2809975652,418495.12261102186,35.44330813694976,64.36778523489932,42.574476987447696,30.69441141498217,34.47332421340627,0.0,42.574476987447696,29.320832971630832
29,2023-05-01,2023-05-31,2023-04-12,0.2,224.9,305.831,298,379.038,239,347.827,252.3,330.005,219.3,295.79,209.6,209.6,239,347.827,1.2243525240748012,1630034.3986554742,1995736.7303225806,365702.33166710637,35.985326811916416,27.193959731543636,45.53430962343097,30.79865239793895,34.87916096671226,0.0,45.53430962343097,22.435252407480117
30,2023-06-01,2023-06-30,2023-05-12,0.2,224.9,285.316,298,331.876,239,356.02,252.3,331.964,219.3,295.959,209.6,209.6,239,356.02,1.189573913348197,665325.3016739339,791453.6227618313,126128.3210878974,26.86349488661626,11.36778523489932,48.96234309623431,31.57510899722551,34.956224350205204,0.0,48.96234309623431,18.957391334819707
31,2023-07-01,2023-07-31,2023-06-12,0.2,224.9,281.866,298,353.569,239,348.799,252.3,331.715,219.3,296.072,209.6,209.6,239,348.799,1.1980197858193364,821002.1313613355,983576.7975707259,162574.6662093904,25.329479768786122,18.647315436241605,45.94100418410041,31.47641696393182,35.00775193798449,0.0,45.94100418410041,19.801978581933643
31,2023-08-01,2023-08-31,2023-07-13,0.2,224.9,281.498,298,350.733,239,335.16,252.3,334.493,219.3,300.789,209.6,209.6,239,335.16,1.1906447649414984,733033.5018487424,872782.5015029393,139748.9996541969,25.165851489550906,17.69563758389261,40.234309623430974,32.577487118509694,37.158686730506155,0.0,40.234309623430974,19.064476494149837
32,2023-09-01,2023-09-30,2023-08-12,0.2,224.9,330.529,298,354.22,239,331.341,252.3,335.313,219.3,300.774,209.6,209.6,239,331.341,1.2127075864345231,1389377.080739513,1684908.1262310585,295531.04549154546,46.96709648732769,18.865771812080556,38.63640167364017,32.902497027348375,37.151846785225715,0.0,38.63640167364017,21.270758643452318
33,2023-10-01,2023-10-31,2023-09-12,0.2,224.9,337.828,298,376.112,239,323.71,252.3,336.568,219.3,301.307,209.6,209.6,239,323.71,1.2265967855166813,343138.9859495759,420893.17715120345,77754.19120162755,50.21253890618051,26.21208053691275,35.443514644351445,33.39992072929052,37.39489284085727,0.0,35.443514644351445,22.659678551668122
33,2023-11-01,2023-11-30,2023-10-12,0.2,224.9,304.867,298,424.852,239,316.875,252.3,337.757,219.3,301.308,209.6,209.6,239,316.875,1.2408343192797169,1137828.1855999976,1411856.2621362484,274028.07653625077,35.55669186305026,42.567785234899326,32.58368200836821,33.871185097106604,37.3953488372093,0.0,32.58368200836821,24.083431927971684
34,2023-12-01,2023-12-31,2023-11-12,0.2,224.9,284.959,298,383.912,239,314.596,252.3,337.433,219.3,304.092,209.6,209.6,239,314.596,1.2042166155862981,323652.0142520815,389747.1332303299,66095.11897824839,26.704757670075587,28.82953020134227,31.630125523012566,33.74276654776058,38.664842681258534,0.0,31.630125523012566,20.421661558629804
34,2024-01-01,2024-01-31,2023-12-13,0.2,224.9,256.033,298,340.688,239,325.942,252.3,337.048,219.3,304.522,209.6,209.6,239,325.942,1.1695099061125092,1132916.9761344641,1324957.6263922849,192040.65025782073,13.843041351711882,14.324832214765104,36.377405857740584,33.59017043202537,38.86092111263109,0.0,36.377405857740584,16.95099061125091
35,2024-02-01,2024-02-29,2024-01-11,0.2,224.9,256.245,298,334.061,239,337.235,252.3,351.059,219.3,306.439,209.6,209.6,239,337.235,1.1786716306859095,-203708.97110924125,-240105.9851626782,-36397.01405343696,13.937305469097371,12.10100671140939,41.10251046025106,39.14347998414587,39.73506611947104,0.0,41.10251046025106,17.867163068590948
