bill_no,period_from,period_to,index_ref_date,fixed_proportion,fuel_o,fuel_n,bitumen_o,bitumen_n,steel_o,steel_n,cement_o,cement_n,equipment_o,equipment_n,labour_o,labour_n,metal_o,metal_n,adjustment_factor_pn,ipc_amount,amount_after_adjustment,adjustment_amount,fuel_ret_pct,bitumen_ret_pct,steel_ret_pct,cement_ret_pct,equipment_ret_pct,labour_ret_pct,metal_ret_pct,adjustment_pct_of_ipc
24,2022-09-01,2022-10-31,2022-09-12,0.2,126.82,192.99,101.42,115.03,120.03,150.07,105.53,104.18,99.72,100.72,103.34,110.67,109.77,119.65,1.1108925635880627,1784744109.1999998,1982658958.817881,197914849.6178813,52.176312884403096,13.419443896667316,25.027076564192274,-1.27925708329385,1.0028078620136327,7.093090768337529,9.000637697002833,11.089256358806269
25,2022-11-01,2022-11-30,2022-10-12,0.2,126.82,188.56,101.42,122.64,120.03,156.22,105.53,103.84,99.72,100.72,103.34,111.99,109.77,116.69,1.123865460058953,1482824883.1499999,1666495669.4882379,183670786.338238,48.68317300110394,20.922894892526124,30.150795634424732,-1.601440348715999,1.0028078620136327,8.370427714341,6.304090370775262,12.386546005895303
26,2022-12-01,2023-01-31,2022-12-13,0.2,126.82,187.98,101.42,125.23,120.03,160.31,105.53,108.14,99.72,103.93,103.34,113.36,109.77,121.55,1.1439290380677758,1621491019.3000045,1854870661.9433913,233379642.64338684,48.225831887714875,23.476631828041803,33.55827709739232,2.473230361034773,4.221821099077427,9.696148635571888,10.73152956181107,14.392903806777573
27,2023-02-01,2023-02-28,2023-01-10,0.2,126.82,182.33,101.42,125.06,120.03,159.28,105.53,108.21,99.72,103.44,103.34,117.04,109.77,123.3,1.1452203951770512,1718304277.9186413,1967837104.192404,249532826.2737627,43.77069862797667,23.30901202918556,32.7001582937599,2.539562209798163,3.730445246690728,13.257209212308885,12.325772068871288,14.522039517705121
28,2023-03-01,2023-04-30,2023-03-12,0.2,126.82,179.6,101.42,118.42,120.03,156.35,105.53,109.58,99.72,103.21,103.34,118.57,109.77,121.8,1.1306750394963507,1288730648.1499999,1457135576.4971588,168404928.3471589,41.61804131840403,16.761979885624136,30.25910189119385,3.8377712498815386,3.4997994384275977,14.737758854267447,10.959278491391089,13.067503949635073
29,2023-05-01,2023-05-31,2023-04-12,0.2,126.82,177.8,101.42,118.54,120.03,156.5,105.53,108.61,99.72,103.21,103.34,119.78,109.77,120.26,1.1289890640917095,1510822605.0,1705702198.8275485,194879593.8275485,40.19870682857596,16.880299743640315,30.384070649004414,2.9186013455889226,3.4997994384275977,15.908651054770662,9.556345085178108,12.898906409170948
30,2023-06-01,2023-06-30,2023-05-12,0.2,126.82,176.74,101.42,118.39,120.03,156.4,105.53,109.12,99.72,103.17,103.34,119.78,109.77,121.67,1.129543444429873,594605451.4999939,671632689.764083,77027238.26408911,39.3628765178994,16.7323999211201,30.30075814379738,3.4018762437221683,3.459687123947064,15.908651054770662,10.840849048009481,12.954344442987317
31,2023-07-01,2023-07-31,2023-06-12,0.2,126.82,175.64,101.42,118.41,120.03,155.2,105.53,108.44,99.72,103.21,103.34,120.38,109.77,120.92,1.1277990488231753,739336253.1,833822723.0066704,94486469.90667033,38.49550544078222,16.752119897456108,29.301008081312997,2.757509712877848,3.4997994384275977,16.489258757499513,10.157602259269382,12.779904882317522
31,2023-08-01,2023-08-31,2023-07-13,0.2,126.82,173.83,101.42,118.04,120.03,154.31,105.53,108.22,99.72,103.7,103.34,120.66,109.77,121.06,1.1260883184893093,676892082.9999999,762240267.5441959,85348184.54419601,37.06828575934398,16.38730033523961,28.559526784970423,2.5490381881929203,3.991175290814275,16.760209018772976,10.285141659834206,12.608831848930935
32,2023-09-01,2023-09-30,2023-08-12,0.2,126.82,176.62,101.42,118.41,120.03,154.52,105.53,107.84,99.72,103.92,103.34,120.7,109.77,122.17,1.1300352007716934,1239014508.6,1400130008.9848418,161115500.38484192,39.26825421857751,16.752119897456108,28.7344830459052,2.1889510091916975,4.211793020457288,16.798916198954906,11.296346907169541,13.00352007716933
33,2023-10-01,2023-10-31,2023-09-12,0.2,126.82,182.96,101.42,118.85,120.03,153.67,105.53,108.19,99.72,104.15,103.34,120.79,109.77,120.92,1.1351022102014816,304742443.0499999,345913820.64825404,41171377.598254144,44.267465699416505,17.185959376848746,28.026326751645403,2.520610253008626,4.442438828720419,16.88600735436423,10.157602259269382,13.510221020148167
33,2023-11-01,2023-11-30,2023-10-12,0.2,126.82,186.44,101.42,119.07,120.03,154.41,105.53,108.24,99.72,104.23,103.34,120.77,109.77,120.06,1.1379034704485176,1053224641.3000029,1198467974.4971683,145243333.19716537,47.01151237975083,17.402879116545055,28.642839290177456,2.567990144982457,4.522663457681508,16.866653764273252,9.37414594151409,13.790347044851748
34,2023-12-01,2023-12-31,2023-11-12,0.2,126.82,186.66,101.42,119.29,120.03,152.81,105.53,107.6,99.72,103.63,103.34,120.96,109.77,119.7,1.1365839669674052,296295231.99999994,336764410.18008757,40469178.180087626,47.18498659517427,17.61979885624139,27.30983920686496,1.9615275277172328,3.9209787404733243,17.05051287013739,9.046187482918832,13.65839669674051
34,2024-01-01,2024-01-31,2023-12-13,0.2,126.82,187.55,101.42,119.23,120.03,154.45,105.53,108.05,99.72,103.63,103.34,120.96,109.77,118.85,1.137502664372583,1048658750.9999999,1192852123.280125,144193372.28012502,47.88676864847818,17.560638927233295,28.676164292260253,2.3879465554818458,3.9209787404733243,17.05051287013739,8.271841122346736,13.750266437258297
35,2024-02-01,2024-02-29,2024-01-11,0.2,126.82,188.28,101.42,119.36,120.03,156.94,105.53,108.43,99.72,103.73,103.34,121.78,109.77,121.21,1.1431724473933524,8554947128.0,9779779845.636492,1224832717.6364918,48.46238763601956,17.68881877341746,30.750645671915343,2.7480337344830907,4.021259526674692,17.844010063866843,10.421791017582205,14.317244739335248
